wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category,2025
LYX0RV,ITAMID,23977897.0,Amundi FTSE Italia PMI PIR 2020 UCITS ETF Acc,2014-03-28 00:00:00,4046,11.084931506849315,Long-only,France,EUR,False,True,Accumulating,0.4,Full replication,140,False,74.0,5.66,1.71,-1.2,1.16,8.42,6.99,23.56,74.87,5.26,13.38,-13.81,24.79,,,15.16,16.78,17.36,0.44,0.4,0.66,-39.32,-11.75,-18.05,-29.76,EMEA,Italy,Developed_EMEA,
A0MZWP,IMIB,3246482.0,iShares FTSE MIB UCITS ETF EUR (Dist),2007-07-06 00:00:00,6503,17.816438356164383,Long-only,Ireland,EUR,False,True,Distributing,0.35,Full replication,110,False,41.0,12.37,2.73,-2.69,3.9,11.61,11.57,76.59,157.9,12.95,31.04,-4.26,18.13,4.06,4.33,17.73,17.9,19.36,0.65,1.16,1.08,-60.06,-15.68,-17.52,-24.36,EMEA,Italy,Developed_EMEA,
A2H561,FMI,38783493.0,Amundi Italy MIB ESG UCITS ETF,2010-06-08 00:00:00,5435,14.89041095890411,Long-only,Luxembourg,EUR,False,True,Accumulating,0.18,Full replication,57,True,40.0,11.64,2.09,-3.85,2.78,12.05,10.52,73.3,151.78,11.51,31.77,-5.11,18.3,,,18.35,18.39,19.57,0.58,1.06,1.03,-48.87,-15.75,-18.79,-25.52,EMEA,Italy,Developed_EMEA,
DBX1MB,DBXI,2825593.0,Xtrackers FTSE MIB UCITS ETF 1D,2007-01-04 00:00:00,6686,18.317808219178083,Long-only,Luxembourg,EUR,False,True,Distributing,0.3,Full replication,53,False,40.0,12.4,2.73,-2.68,3.92,11.68,11.64,76.75,158.0,13.05,31.08,-4.82,18.38,4.65,4.93,17.76,18.03,19.44,0.66,1.16,1.07,-60.32,-15.74,-17.55,-24.37,EMEA,Italy,Developed_EMEA,
A3CQSU,MIBA,111139283.0,Amundi FTSE MIB UCITS ETF Acc,2021-04-19 00:00:00,1467,4.019178082191781,Long-only,France,EUR,False,False,Accumulating,0.35,Full replication,22,False,40.0,11.56,2.1,-3.53,3.37,10.99,10.42,75.41,,13.08,31.1,-4.61,,,,18.11,18.24,,0.59,1.1,,-24.42,-15.69,-17.63,,EMEA,Italy,Developed_EMEA,
A0NEUQ,LEVMIB,3004355.0,Amundi FTSE MIB Daily (2x) Leveraged UCITS ETF Dist,2008-02-08 00:00:00,6286,17.221917808219178,Short & Leveraged,France,EUR,False,False,Distributing,0.6,Swap based Funded,90,False,,16.55,3.86,-10.78,2.25,13.98,12.4,140.65,373.45,24.45,63.48,-20.39,44.34,8.51,8.78,36.58,35.66,38.47,0.36,0.92,0.94,-89.5,-31.06,-32.47,-45.78,EMEA,Italy,Developed_EMEA,
A0ND7C,XBRMIB,3004369.0,Amundi FTSE MIB Daily (-2x) Inverse UCITS ETF Acc,2008-02-08 00:00:00,6286,17.221917808219178,Short & Leveraged,France,EUR,False,False,Accumulating,0.6,Swap based Funded,35,False,,-14.29,-3.23,11.11,-6.25,-11.76,-18.92,-68.42,-90.6,-28.57,-44.94,5.95,-48.15,,,46.53,40.67,42.12,-0.44,-0.77,-0.9,-99.82,-40.91,-79.2,-92.15,EMEA,Italy,Developed_EMEA,
A0NE3E,BERMIB,3004290.0,Amundi FTSE MIB Daily (-1x) Inverse UCITS ETF Acc,2008-02-08 00:00:00,6286,17.221917808219178,Short & Leveraged,France,EUR,False,False,Accumulating,0.6,Swap based Funded,25,False,,-4.53,-1.68,7.55,-0.94,-3.83,-7.71,-38.65,-66.02,-15.6,-24.57,8.51,-30.1,,,21.04,19.54,21.05,-0.4,-0.75,-0.93,-93.78,-23.0,-53.29,-69.65,EMEA,Italy,Developed_EMEA,
,3LCR,,GraniteShares 3x Long UniCredit Daily ETP,2022-02-02 00:00:00,1178,3.2273972602739724,Short & Leveraged,Ireland,EUR,False,False,Accumulating,0.99,Swap based,5,False,,95.66,2.1,-19.49,35.84,67.02,94.15,5316.46,,196.34,331.58,,,,,98.18,101.91,,0.96,2.73,,-90.23,-56.12,-58.54,,EMEA,Italy,Developed_EMEA,
,3SCR,,GraniteShares 3x Short UniCredit Daily ETP,2022-02-02 00:00:00,1178,3.2273972602739724,Short & Leveraged,Ireland,EUR,False,False,Accumulating,0.99,Swap based,1,False,,-68.58,-5.13,-4.86,-54.57,-69.48,-84.22,-99.95,,-87.19,-93.44,,,,,99.63,102.08,,-0.85,-0.9,,-99.98,-87.42,-99.97,,EMEA,Italy,Developed_EMEA,
,5SIT,,GraniteShares 5x Short MIB Daily ETF,2023-06-09 00:00:00,686,1.8794520547945208,Short & Leveraged,Ireland,EUR,False,False,Accumulating,1.5,Swap based,1,False,,-45.66,-9.63,12.67,-27.78,-46.35,-59.38,,,-64.0,,,,,,94.62,,,-0.63,,,-91.91,-76.03,,,EMEA,Italy,Developed_EMEA,
,5MIB,,GraniteShares 5x Long MIB Daily ETF,2023-06-09 00:00:00,686,1.8794520547945208,Short & Leveraged,Ireland,EUR,False,False,Accumulating,1.5,Swap based,1,False,,14.89,8.79,-36.66,-13.5,4.54,-7.8,,,44.8,,,,,,91.8,,,-0.09,,,-65.85,-65.85,,,EMEA,Italy,Developed_EMEA,
DBX0K8,XESD,23085385.0,Xtrackers Spanish Equity UCITS ETF 1D,2013-12-19 00:00:00,4145,11.356164383561644,Long-only,Luxembourg,EUR,False,True,Distributing,0.3,Full replication,326,False,40.0,20.25,2.03,1.75,13.34,18.39,19.15,67.78,135.08,9.73,24.47,3.24,5.01,3.08,3.54,16.8,16.17,18.7,1.14,1.16,1.0,-38.04,-10.73,-16.03,-18.3,EMEA,Spain,Developed_EMEA,
LYX0A6,LYXIB,2356177.0,Amundi IBEX 35 UCITS ETF Dist,2006-01-19 00:00:00,7036,19.27671232876712,Long-only,France,EUR,False,False,Distributing,0.3,Full replication,269,False,35.0,19.44,2.7,2.24,12.85,17.28,23.9,75.39,128.17,14.05,25.03,3.21,3.04,2.56,3.1,16.8,16.45,18.46,1.42,1.22,0.95,-50.72,-10.43,-15.28,-19.47,EMEA,Spain,Developed_EMEA,
A0REJT,CS1,4525515.0,Amundi IBEX 35 UCITS ETF Acc,2024-04-04 00:00:00,386,1.0575342465753426,Long-only,France,EUR,False,False,Accumulating,0.3,Full replication,115,False,35.0,18.72,1.96,1.96,12.33,16.73,23.85,73.68,128.72,14.0,24.42,3.96,1.62,,,16.81,16.14,18.44,1.42,1.25,0.98,-53.3,-10.43,-15.31,-19.08,EMEA,Spain,Developed_EMEA,
DBX0HR,XESP,12865323.0,Xtrackers Spanish Equity UCITS ETF 1C,2011-04-27 00:00:00,5112,14.005479452054796,Long-only,Luxembourg,EUR,False,True,Accumulating,0.3,Full replication,68,False,40.0,20.22,2.01,1.74,13.33,18.36,19.09,67.87,135.02,9.73,24.46,3.35,4.97,,,16.79,16.15,18.68,1.14,1.17,1.0,-48.06,-10.7,-16.02,-18.34,EMEA,Spain,Developed_EMEA,
LYX0M1,IBEXA,12958402.0,Amundi IBEX 35 Doble Apalancado Diario (2x) UCITS ETF Acc,2011-05-02 00:00:00,5107,13.991780821917809,Short & Leveraged,France,EUR,False,False,Accumulating,0.4,Swap based Funded,44,False,,33.93,5.08,0.48,22.29,28.0,43.01,148.57,292.7,27.59,49.75,-4.31,10.29,,,33.83,31.32,35.97,1.28,1.09,0.85,-71.59,-22.27,-31.25,-36.26,EMEA,Spain,Developed_EMEA,
LYX0M5,2INVE,12931395.0,Amundi IBEX 35 Doble Inverso Diario (-2x) UCITS ETF Acc,2011-05-02 00:00:00,5107,13.991780821917809,Short & Leveraged,France,EUR,False,False,Accumulating,0.6,Swap based Funded,26,False,,-24.68,-4.92,0.0,-20.55,-21.62,-35.56,-66.47,-87.08,-30.0,-38.55,-2.19,-30.68,,,36.71,33.08,37.81,-0.97,-0.9,-0.88,-98.25,-43.0,-75.95,-88.32,EMEA,Spain,Developed_EMEA,
A0HGWF,IAEX,2308837.0,iShares AEX UCITS ETF,2005-11-18 00:00:00,7098,19.44657534246576,Long-only,Ireland,EUR,False,True,Distributing,0.3,Full replication,644,False,26.0,2.74,1.99,-2.51,-1.59,0.7,1.3,32.41,86.09,8.9,14.43,-6.88,21.4,2.19,2.17,13.97,15.23,16.5,0.09,0.64,0.8,-54.28,-12.96,-12.96,-21.96,EMEA,Netherlands,Developed_EMEA,
A2P9XA,IAEA,56145411.0,iShares AEX UCITS ETF EUR (Acc),2020-07-29 00:00:00,1731,4.742465753424658,Long-only,Ireland,EUR,False,True,Accumulating,0.3,Full replication,45,False,26.0,1.28,0.28,-3.91,-4.43,-0.97,0.42,30.4,,8.82,14.54,-6.93,21.44,,,14.05,15.35,,0.03,0.6,,-21.92,-12.99,-12.99,,EMEA,Netherlands,Developed_EMEA,
A1W6DC,SW2CHB,22492322.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (CHF) A-acc,2013-10-31 00:00:00,4194,11.490410958904109,Long-only,Luxembourg,CHF,False,True,Accumulating,0.2,Full replication,1811,False,45.0,7.09,1.18,-4.34,-0.36,1.05,7.65,11.4,41.37,-1.32,9.58,-7.8,19.52,,,13.11,13.13,13.38,0.58,0.26,0.51,-20.04,-11.61,-11.61,-15.63,EMEA,Switzerland,Developed_EMEA,
DBX1SM,XSMI,2825604.0,Xtrackers Swiss Large Cap UCITS ETF 1D,2007-01-22 00:00:00,6668,18.26849315068493,Long-only,Luxembourg,CHF,False,True,Distributing,0.3,Full replication,1350,False,20.0,7.71,0.89,-3.52,0.75,1.46,9.62,11.92,40.39,-1.3,9.4,-7.32,20.21,1.56,1.69,13.49,13.24,13.57,0.71,0.29,0.52,-31.17,-11.66,-11.66,-14.9,EMEA,Switzerland,Developed_EMEA,
DBX0NU,XSMC,21743691.0,Xtrackers Swiss Large Cap UCITS ETF 1C,2013-07-09 00:00:00,4308,11.802739726027395,Long-only,Luxembourg,CHF,False,True,Accumulating,0.3,Full replication,518,False,20.0,7.4,1.09,-4.42,0.01,1.35,7.72,11.64,40.66,-1.31,9.42,-7.08,19.27,,,13.47,13.04,13.4,0.57,0.29,0.53,-19.77,-11.65,-11.65,-14.36,EMEA,Switzerland,Developed_EMEA,
A1W6NY,SW2CHA,22534681.0,UBS ETF (LU) MSCI Switzerland 20/35 UCITS ETF (CHF) A-dis,2013-11-28 00:00:00,4166,11.413698630136986,Long-only,Luxembourg,CHF,False,True,Distributing,0.2,Full replication,501,False,45.0,7.04,1.1,-4.35,-0.39,1.05,7.61,11.34,41.23,-1.33,9.59,-7.86,19.6,1.68,1.8,13.08,13.12,13.38,0.57,0.26,0.51,-19.99,-11.61,-11.61,-15.63,EMEA,Switzerland,Developed_EMEA,
DBX1AA,DXS0,3613620.0,Xtrackers SLI UCITS ETF 1D,2008-01-25 00:00:00,6300,17.26027397260274,Long-only,Luxembourg,CHF,False,True,Distributing,0.25,Full replication,322,False,30.0,5.06,1.25,-4.03,-2.04,0.49,9.28,19.63,67.16,3.08,15.1,-10.81,22.75,1.33,1.44,13.61,14.26,14.48,0.68,0.43,0.75,-35.69,-13.34,-13.34,-18.16,EMEA,Switzerland,Developed_EMEA,
A2H57B,CSWG,38784820.0,Amundi MSCI Switzerland UCITS ETF CHF,2010-06-17 00:00:00,5426,14.865753424657534,Long-only,Luxembourg,CHF,False,False,Accumulating,0.25,Swap based Unfunded,230,False,,6.8,1.14,-3.47,0.52,1.14,9.44,11.44,40.35,-0.44,9.44,-8.32,19.82,,,13.99,13.87,13.99,0.67,0.26,0.5,-21.08,-11.97,-11.97,-16.18,EMEA,Switzerland,Developed_EMEA,
A2QJ83,CHSR,58846222.0,UBS ETF (LU) MSCI Switzerland IMI Socially Responsible UCITS ETF (CHF) A-acc,2021-02-26 00:00:00,1519,4.161643835616438,Long-only,Luxembourg,CHF,False,False,Accumulating,0.28,Full replication,191,True,62.0,4.88,1.22,-1.89,-1.11,-0.08,9.19,14.51,,0.93,14.15,-12.76,,,,12.61,13.85,,0.73,0.33,,-19.32,-12.12,-12.21,,EMEA,Switzerland,Developed_EMEA,
