wkn,ticker,valor,name,inception_date,age_in_days,age_in_years,strategy,domicile_country,currency,hedged,securities_lending,dividends,ter,replication,size,is_sustainable,number_of_holdings,yesterday,last_week,last_month,last_three_months,last_six_months,last_year,last_three_years,last_five_years,2024,2023,2022,2021,last_dividends,last_year_dividends,last_year_volatility,last_three_years_volatility,last_five_years_volatility,last_year_return_per_risk,last_three_years_return_per_risk,last_five_years_return_per_risk,max_drawdown,last_year_max_drawdown,last_three_years_max_drawdown,last_five_years_max_drawdown,region,country,region_category
A14X36,JPSRU,30069006.0,UBS ETF (LU) MSCI Japan Socially Responsible UCITS ETF (hedged to USD) A-acc,2016-06-06,3245,8.89041095890411,Long-only,Luxembourg,USD,True,False,Accumulating,0.22,Full replication,2.0,True,60.0,-9.24,4.06,-8.92,-10.71,-1.09,3.0,47.93,88.98,27.17,20.97,6.55,8.14,,,28.33,20.79,19.16,-0.01,0.62,0.68,-23.08,-22.68,-22.68,-22.68,APAC,Japan,Developed_APAC
A406Q9,JCTD,133332356.0,iShares MSCI Japan Climate Transition Aware UCITS ETF USD (Dist),2024-06-11,318,0.8712328767123287,Long-only,Ireland,USD,False,False,Distributing,0.15,Full replication,2.0,True,124.0,-6.37,0.26,-8.17,-7.06,-0.98,,,,,,,,,,,,,,,,-18.63,,,,APAC,Japan,Developed_APAC
A40C8B,EJAPU,134670232.0,BNP Paribas Easy MSCI Japan ESG Filtered Min TE UCITS ETF USD,2024-04-19,371,1.0164383561643835,Long-only,Luxembourg,USD,False,False,Accumulating,0.16,Full replication,1.0,True,182.0,-4.13,2.91,-6.34,-5.57,2.26,-0.49,,,,,,,,,26.56,,,-0.02,,,-17.61,-17.61,,,APAC,Japan,Developed_APAC
A3DQMR,JJEC,120129643.0,JPMorgan Japan Research Enhanced Index Equity (ESG) UCITS ETF CHF Hedged (acc),2022-08-09,990,2.712328767123288,"Long-only, Active",Ireland,CHF,True,False,Accumulating,0.25,Full replication,1.0,True,129.0,-5.52,1.21,-4.6,-5.9,-0.87,-0.53,,,14.81,35.56,,,,,27.4,,,-0.07,,,-20.9,-20.9,,,APAC,Japan,Developed_APAC
A2DVG4,OP5E,39233070.0,Ossiam Bloomberg Japan PAB NR UCITS ETF 1C (EUR),2017-11-14,2719,7.449315068493151,Long-only,Luxembourg,EUR,False,False,Accumulating,0.19,Full replication,1.0,True,85.0,-1.7,2.51,-4.0,-4.08,1.77,-0.54,18.9,34.85,6.13,11.31,-7.43,2.05,,,22.94,18.64,17.44,-0.02,0.32,0.35,-21.77,-16.02,-16.02,-19.43,APAC,Japan,Developed_APAC
A2DVG5,OP5H,39233072.0,Ossiam Bloomberg Japan PAB NR UCITS ETF H1C (EUR Hedged),2017-11-14,2719,7.449315068493151,Long-only,Luxembourg,EUR,True,False,Accumulating,0.25,Full replication,1.0,True,85.0,-2.68,2.9,-4.24,-4.68,1.74,-0.6,47.97,96.45,15.03,26.82,-0.41,4.09,,,24.78,19.71,18.66,-0.02,0.71,0.77,-30.99,-20.75,-20.75,-20.75,APAC,Japan,Developed_APAC
A3DKJ4,JARG,118356015.0,Amundi MSCI Japan SRI Climate Paris Aligned UCITS ETF DR - GBP (D),2022-06-01,1059,2.9013698630136986,Long-only,Luxembourg,GBP,False,False,Distributing,0.12,Full replication,1.0,True,36.0,-0.69,1.71,-1.65,-1.79,1.85,-0.13,,,-1.2,4.46,,,1.52,1.49,22.53,,,-0.01,,,-16.44,-15.68,,,APAC,Japan,Developed_APAC
A3ENLE,FJPI,128550037.0,Fidelity Japan Equity Research Enhanced UCITS ETF INC-JPY,2023-07-26,639,1.7506849315068491,"Long-only, Active",Ireland,JPY,False,False,Distributing,0.25,Full replication,1.0,True,141.0,-3.9,2.78,-3.58,-3.9,2.31,-4.25,,,9.07,,,,0.95,0.9,25.36,,,-0.17,,,-18.45,-17.41,,,APAC,Japan,Developed_APAC
A40JU4,JCPG,,Janus Henderson Tabula Japan High Conviction Equity UCITS ETF JPY Acc,2024-10-16,191,0.5232876712328767,"Long-only, Active",Ireland,JPY,False,False,Accumulating,0.49,Full replication,,True,,0.0,2.0,-3.77,0.0,4.08,,,,,,,,,,,,,,,,-16.67,,,,APAC,Japan,Developed_APAC
A2DWP8,AUAD,22896454.0,UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-dis,2017-09-18 00:00:00,2776,7.605479452054794,Long-only,Ireland,AUD,False,True,Distributing,0.4,Full replication,301.0,False,54.0,-3.53,2.9,0.62,-8.65,-6.81,-1.18,3.83,71.76,2.82,7.47,6.24,10.16,3.75,3.58,17.55,17.35,17.37,-0.07,0.07,0.66,-39.35,-20.04,-20.04,-20.04,APAC,Australia,Developed_APAC
A0YJ80,SAUS,10954070.0,iShares MSCI Australia UCITS ETF,2010-01-22 00:00:00,5572,15.265753424657534,Long-only,Ireland,USD,False,True,Accumulating,0.5,Full replication,279.0,False,54.0,-3.42,2.92,0.77,-8.81,-6.51,-0.94,4.36,71.3,2.31,8.11,5.69,10.37,,,18.27,17.44,18.07,-0.05,0.08,0.63,-39.76,-20.28,-20.28,-20.28,APAC,Australia,Developed_APAC
A1W5DD,AUST,22374953.0,UBS ETF (IE) MSCI Australia UCITS ETF (AUD) A-acc,2013-09-30 00:00:00,4225,11.575342465753424,Long-only,Ireland,AUD,False,True,Accumulating,0.4,Full replication,181.0,False,54.0,-3.65,2.73,0.48,-8.75,-6.94,-1.29,3.71,71.71,2.9,7.48,6.22,10.22,,,17.64,17.21,17.25,-0.07,0.07,0.66,-39.39,-20.05,-20.05,-20.05,APAC,Australia,Developed_APAC
A3DTWE,AUESG,121623695.0,UBS ETF (IE) MSCI Australia ESG Universal Low Carbon Select UCITS ETF (AUD) A-acc,2023-04-20 00:00:00,736,2.016438356164384,Long-only,Ireland,AUD,False,False,Accumulating,0.43,Full replication,152.0,True,46.0,-4.37,2.02,0.0,-9.65,-6.67,0.26,,,6.03,,,,,,17.31,,,-0.11,,,-19.63,-19.63,,,APAC,Australia,Developed_APAC
LYX0FU,LAUU,11127111.0,Amundi Australia S&P/ASX 200 UCITS ETF Dist,2010-03-26 00:00:00,5509,15.093150684931508,Long-only,Luxembourg,EUR,False,False,Distributing,0.4,Swap based Unfunded,87.0,False,,-3.48,2.62,0.08,-8.48,-6.51,-0.64,1.75,68.15,2.5,6.62,3.26,10.46,4.19,4.01,17.28,17.04,17.21,-0.04,0.03,0.64,-39.99,-19.72,-19.72,-19.72,APAC,Australia,Developed_APAC
DBX1A2,XAUS,3614418.0,Xtrackers S&P/ASX 200 UCITS ETF 1D,2008-01-17 00:00:00,6308,17.28219178082192,Long-only,Luxembourg,AUD,False,True,Distributing,0.5,Full replication,54.0,False,200.0,-3.35,2.56,0.09,-8.81,-6.96,-1.2,0.91,66.9,2.33,5.68,3.42,10.91,3.22,3.09,17.43,17.35,17.34,-0.07,0.02,0.62,-50.0,-19.86,-19.86,-19.86,APAC,Australia,Developed_APAC
A140DW,AUHCHA,29705502.0,UBS ETF (IE) MSCI Australia UCITS ETF (hedged to CHF) A-acc,2015-11-27 00:00:00,3437,9.416438356164385,Long-only,Ireland,CHF,True,True,Accumulating,0.43,Full replication,34.0,False,54.0,0.51,0.99,4.44,-2.97,-0.93,6.08,26.02,85.94,1.17,15.23,11.43,12.13,,,12.56,13.32,14.36,0.43,0.59,0.9,-25.96,-11.47,-11.47,-11.47,APAC,Australia,Developed_APAC
A140D2,AUHUSA,29706046.0,UBS ETF (IE) MSCI Australia UCITS ETF (hedged to USD) A-acc,2015-09-30 00:00:00,3495,9.575342465753424,Long-only,Ireland,USD,True,True,Accumulating,0.43,Full replication,32.0,False,54.0,-7.56,2.07,-2.18,-11.18,-4.04,0.15,23.2,82.92,14.08,10.01,15.83,17.66,,,13.87,13.15,14.22,-0.15,0.49,0.87,-27.08,-15.65,-15.65,-15.65,APAC,Australia,Developed_APAC
A140DY,AUHEUA,29706027.0,UBS ETF (IE) MSCI Australia UCITS ETF (hedged to EUR) A-acc,2015-11-27 00:00:00,3437,9.416438356164385,Long-only,Ireland,EUR,True,True,Accumulating,0.43,Full replication,25.0,False,54.0,1.07,2.44,2.91,-2.91,0.95,5.26,21.35,76.84,5.57,10.9,6.43,7.51,,,12.87,13.13,14.2,0.32,0.47,0.81,-28.45,-10.73,-10.82,-11.71,APAC,Australia,Developed_APAC
A140D0,AUGA,29706036.0,UBS ETF (IE) MSCI Australia UCITS ETF (hedged to GBP) A-acc,2015-11-27 00:00:00,3437,9.416438356164385,Long-only,Ireland,GBP,True,True,Accumulating,0.43,Full replication,4.0,False,54.0,-0.44,3.04,1.81,-3.13,-0.08,8.55,24.99,90.76,11.98,14.72,1.95,15.79,,,13.5,13.06,14.0,0.63,0.59,0.98,-35.73,-13.08,-13.08,-13.92,APAC,Australia,Developed_APAC
